cor;time;raccoons_bought
55.755794 37.589105;442356806;0
55.720697 37.672549;441929601;4
55.670585 37.587057;442040718;2
55.771591 37.665336;442313622;0
55.74037 37.636374;442221921;0
55.841402 37.586877;442318049;3
55.786308 37.695187;442080979;3
55.731506 37.574848;441842930;3
55.791309 37.763081;441934728;3
55.673661 37.552373;442238364;2
55.737785 37.644549;441823499;96
55.711534 37.589823;441792788;0
55.656407 37.553361;442320711;4
55.70386 37.524758;441970299;2
55.756016 37.536571;441999214;2
55.674174 37.588548;442236783;0
55.769135 37.63933;441887367;3
55.792741 37.654996;442128944;0
55.649164 37.671049;441812573;2
55.726462 37.648573;441848123;2
55.800433 37.461724;441859084;0
55.801501 37.457573;442229934;2
55.818882 37.618893;442049620;1
55.758407 37.736617;441947945;0
55.773702 37.59922;441785575;5
55.765691 37.651223;442203264;4
55.726026 37.778595;442285854;4
55.69347 37.560763;442187158;4
55.732839 37.622306;441788734;0
55.658743 37.541243;442312628;5
55.757024 37.750784;442228205;4
55.774644 37.596255;441892578;0
55.797321 37.453378;442101133;2
55.61601 37.623384;442363629;5
55.712016 37.588647;442123664;2
55.739671 37.621408;442250475;4
55.747601 37.590246;442022814;495
55.78809 37.707045;441862220;0
55.802133 37.486427;442293735;4
55.885807 37.556307;442182365;0
55.853976 37.569351;442351351;2
55.705569 37.603047;441970017;0
55.650048 37.671885;442083998;3
55.773565 37.526061;442195601;5
55.811143 37.804305;442355021;0
55.793085 37.458076;441844730;4
55.786455 37.576313;442220907;0
55.700557 37.571201;441781340;0
55.657667 37.467679;442134290;3
55.761102 37.653352;441993880;1
55.739671 37.621408;441838448;1
55.730745 37.57342;441806292;4
55.645796 37.545959;442055629;1
55.72167 37.779233;442316124;2
55.708663 37.576079;441976003;1
55.782537 37.604017;442126467;2
55.613346 37.612587;442219644;1
55.763579 37.623798;441901593;2
55.763579 37.623798;441952784;5
55.788722 37.741549;442052157;0
55.737512 37.626304;442365098;1
55.656052 37.612039;442212484;1
55.765974 37.684596;441983280;1
55.662506 37.604753;442240088;3
55.731435 37.678873;442282672;3
55.793763 37.463745;442140486;5
55.720773 37.777895;441993361;5
55.785053 37.741863;441990254;5
55.676697 37.576483;441766814;0
55.979833 37.398455;441865087;3
55.758311 37.608167;441995537;3
55.649703 37.671849;442288776;1
55.616381 37.76371;441828329;2
55.745007 37.664437;442048629;5
55.842514 37.486903;441832917;3
55.705346 37.518066;442187170;0
55.803631 37.552894;441938161;1
55.792741 37.654996;442131013;5
55.755738 37.378288;442176762;1
55.732276 37.57112;442282252;4
55.767291 37.59083;441893590;0
55.747044 37.591234;441974545;3
55.774396 37.596534;442208235;4
55.786455 37.576313;441892665;1
55.646177 37.509352;442231085;3
55.800974 37.46476;441917537;1
55.70494 37.569791;441782742;0
55.870794 37.581173;442211070;5
55.856851 37.506352;441882725;4
55.739123 37.622558;442088201;5
55.763675 37.506073;441973375;4
55.807015 37.622315;442086084;4
55.769135 37.63933;441909052;1
55.647229 37.510754;441789249;4
55.666431 37.575343;441985725;0
55.661917 37.602436;442057649;4
55.786409 37.473447;441962463;1
55.743355 37.665587;441788818;4
55.685411 37.552992;442046306;5
55.732996 37.698654;441991362;2
55.751427 37.648942;442355889;4
55.778067 37.730473;441866320;0
55.782491 37.580472;442282271;5
55.759106 37.548788;442356669;1
55.785665 37.48402;442207481;2
55.757121 37.378225;442044162;3
55.781119 37.516269;442125813;4
55.76175 37.647657;442169348;5
55.732611 37.566746;442115575;3
55.681767 37.516575;441937471;4
55.758311 37.608167;442316499;355
55.657499 37.645214;441878950;1
55.856851 37.506352;441765190;0
55.650434 37.538736;442217248;0
55.766643 37.602373;441978447;3
55.797321 37.453378;442088954;3
55.754877 37.611904;442029970;4
55.71057 37.577561;442358540;0
55.801364 37.477085;442284113;0
55.807015 37.622315;441872628;2
55.713679 37.831704;441857605;0
55.704874 37.585359;442035458;0
55.750591 37.769037;442005813;5
55.771591 37.665336;441994304;1
55.804091 37.783437;441905347;4
55.782466 37.663961;442193755;1
55.738313 37.622046;442003823;1
55.801081 37.760072;442113199;5
55.837444 37.443129;442018907;2
55.740517 37.528963;442211954;3
55.70386 37.524758;442178603;1
55.807041 37.660961;442215163;3
55.712071 37.592321;442054303;0
55.752724 37.652463;441981826;1
55.809054 37.572351;442124804;4
55.76331 37.586706;442203265;2
55.774396 37.596534;442125049;0
55.721305 37.770978;441988168;5
55.808108 37.520042;441859407;0
55.799482 37.460601;441804850;48
55.746051 37.731074;441885979;3
55.766643 37.602373;441916447;0
55.648494 37.55204;441873028;4
55.765974 37.684596;442318341;5
55.646584 37.508607;442001801;2
55.727212 37.583598;441893745;5
55.677844 37.58597;442231026;3
55.812676 37.518003;441947377;5
55.648748 37.668992;441896504;3
55.795337 37.739123;441778163;2
55.764921 37.609272;441806500;3
55.763554 37.616629;441895183;148
55.705468 37.648726;442177466;4
55.765691 37.651223;441943577;0
55.764131 37.631541;442097236;2
55.844753 37.500926;442367445;0
55.713654 37.592285;441846880;4
55.680037 37.757278;442168726;4
55.830761 37.677894;441881547;3
55.777803 37.669693;442208208;3
55.714171 37.590856;442090906;5
55.784769 37.704251;441812056;1
55.664289 37.492904;442083607;5
55.651018 37.651645;442071750;3
55.771332 37.465613;442238381;0
55.645492 37.508463;442294905;2
55.858205 37.43357;441977077;5
55.754877 37.589437;442075261;2
55.753372 37.652463;442019381;1
55.830624 37.677185;441962805;0
55.82706 37.557601;442324103;0
55.793814 37.460071;441874533;0
55.747368 37.719046;441936315;2
55.75553 37.589859;442215211;2
55.774593 37.629277;442317304;3
55.759101 37.598034;442005135;4
55.793303 37.694639;442321435;1
55.771332 37.465613;442342356;4
55.789806 37.480687;441860185;5
55.758311 37.608167;441988863;5
55.687188 37.551277;442161938;5
55.686376 37.614491;441914370;1
55.793146 37.458831;441957274;2
55.771393 37.567392;441790618;0
55.693038 37.579654;442183714;5
55.752014 37.677229;442074372;2
55.645492 37.508463;442075198;2
55.656158 37.607969;442058903;1
55.676697 37.576483;442025702;5
55.658743 37.541243;442301548;0
55.819545 37.643812;442331712;1
55.705458 37.550926;442080323;2
55.70386 37.524758;441998648;1
55.739671 37.621408;441808858;1
55.755368 37.646471;442264363;2
55.791228 37.46229;442149575;0
55.791309 37.763081;442249077;0
55.719911 37.86531;441920145;1
55.663365 37.562021;442334001;5
55.830761 37.677894;442166546;2
55.712016 37.588647;441968238;1
55.733827 37.569899;442047390;3
55.7216 37.675918;442018918;3
55.738824 37.633266;441853800;5
55.695641 37.560161;441873336;4
55.741774 37.683922;441877470;0
55.733401 37.652921;442195853;1
55.764642 37.677373;442276544;3
55.69347 37.560763;441959866;0
55.787371 37.62713;441782252;4
55.688969 37.572621;441889823;2
55.797943 37.451761;441971330;252
55.650383 37.537928;442112351;2
55.702987 37.53093;442317217;2
55.755029 37.626717;441809157;4
55.668894 37.577714;442306284;2
55.71625 37.694971;442086448;4
55.795702 37.560134;442079033;5
55.825532 37.503405;442078487;4
55.801172 37.478118;441774722;2
55.764131 37.631541;441969002;3
55.681767 37.516575;441789088;4
55.757734 37.756659;442077355;1
55.786678 37.62713;442141691;3
55.801703 37.464347;442284718;5
55.825532 37.503405;442133248;5
55.575907 37.677535;441797105;3
55.857473 37.65187;441890108;5
55.753316 37.704916;441785626;0
55.786678 37.62713;441873505;5
55.666431 37.575343;441961649;1
55.710398 37.590219;442079726;4
55.680037 37.757278;442049952;4
55.786308 37.695187;442160151;3
55.761411 37.672693;442121028;3
55.7567 37.674202;441843478;4
55.732611 37.566746;442310729;3
55.762834 37.798286;442278641;5
55.762789 37.662425;441910712;4
55.705184 37.569207;441938327;1
55.756189 37.61141;442339648;4
55.65592 37.618426;442333767;4
55.685792 37.616449;442254450;4
55.761664 37.616872;442191895;3
55.738824 37.633266;442038430;1
55.800433 37.461724;441951337;5
55.839117 37.5486;442098494;3
55.732996 37.698654;442011239;1
55.799092 37.452157;441908326;2
55.783084 37.60187;441776873;0
55.663365 37.562021;442366593;3
55.762667 37.664707;442091800;5
55.710398 37.590219;441799713;0
55.659607 37.645555;442014120;4
55.763554 37.616629;441979078;3
55.870794 37.581173;441806353;2
55.662136 37.547046;442169252;2
55.715023 37.862157;441885033;5
55.767904 37.580858;441963041;2
55.704666 37.568129;442185554;1
55.686289 37.552876;441838169;4
55.675514 37.644648;441794903;1
55.782658 37.584101;442245348;0
55.661013 37.555795;442011872;4
55.747044 37.591234;441859890;2
55.678148 37.584451;441849673;2
55.680037 37.757278;442131000;1
55.821821 37.570743;442112793;2
55.745199 37.645133;442334287;4
55.737172 37.620366;442311466;2
55.800433 37.461724;442274684;2
55.678549 37.583023;442362018;1
55.843121 37.491072;442245354;1
55.687188 37.551277;441928146;5
55.727531 37.616917;442350815;3
55.784835 37.631766;442223396;4
55.831524 37.681425;441990661;5
55.762834 37.798286;441867026;0
55.785665 37.627077;441903418;4
55.646177 37.509352;442202285;0
55.839117 37.5486;441823739;0
55.792761 37.761456;441770225;2
55.774775 37.54745;442026047;0
55.695403 37.567123;442013911;0
55.769919 37.690507;441883837;0
55.700968 37.53906;441854213;0
55.739868 37.530301;441869212;3
55.779059 37.736932;442125808;1
55.803722 37.647055;441816825;3
55.649865 37.672343;441797693;1
55.754704 37.713342;441828181;1
55.779555 37.523519;441962803;5
55.649703 37.671849;441785700;3
55.705458 37.550926;441857498;0
55.657499 37.645214;441771458;3
55.756457 37.610691;442167377;0
55.83028 37.404815;441804055;1
55.781534 37.714483;441803264;1
55.870794 37.581173;441800248;3
55.639984 37.523088;442305112;4
55.73477 37.614841;441821918;5
55.727531 37.616917;441995244;5
55.785665 37.627077;441999409;3
55.65592 37.618426;441973895;5
55.698767 37.579196;441785667;4
55.856851 37.506352;442079240;3
55.769135 37.63933;442264097;5
55.652908 37.642474;441888776;1
55.757425 37.627059;442047447;1
55.763579 37.623798;442320196;2
55.62945 37.621723;441796136;3
55.830624 37.677185;441963764;5
55.782658 37.584101;442113366;0
55.721305 37.770978;442109238;0
55.793308 37.591279;441765272;1
55.753372 37.652463;441787642;0
55.798384 37.580589;442094623;5
55.686848 37.55116;442144728;5
55.761102 37.653352;442104253;4
55.775996 37.505939;442130388;1
55.647229 37.510754;441772347;3
55.791709 37.651538;442041532;5
55.798743 37.44921;442355589;3
55.780355 37.55628;441990225;3
55.76213 37.655724;442314207;50
55.762227 37.590937;442020861;5
55.80655 37.504708;442024504;5
55.836833 37.551959;441895384;1
55.756791 37.648528;441923300;2
55.8023 37.459092;442099010;5
55.802255 37.462119;441971955;2
55.713679 37.831704;442093723;5
55.757597 37.608356;441932450;0
55.871203 37.51953;442216262;3
55.789461 37.593273;442160862;0
55.856851 37.506352;442079756;0
55.669021 37.481576;441979491;0
55.703834 37.648043;442075615;0
55.8023 37.459092;442131403;0
55.788237 37.628343;442146619;0
55.738313 37.622046;441764798;1
55.808108 37.520042;441967529;3
55.642972 37.674472;442119347;4
55.762191 37.708922;442360997;5
55.650048 37.671885;442119477;0
55.799482 37.460601;442017948;1
55.645862 37.508337;442359444;5
55.71057 37.577561;441975454;2
55.659607 37.645555;442202555;3
55.721508 37.775811;441858766;1
55.799482 37.460601;441779480;0
55.763675 37.506073;441933835;5
55.798166 37.452785;442362120;26
55.74937 37.640911;441893130;2
55.722512 37.772918;442096565;1
55.818144 37.706982;441934001;3
55.77032 37.661446;442076007;4
55.772102 37.650675;441797410;2
55.73477 37.614841;442011614;1
55.716017 37.568228;442363546;3
55.802528 37.463907;441809344;4
55.856851 37.506352;441851171;3
55.695758 37.565147;442113219;2
55.646584 37.508607;442218563;1
55.775525 37.549471;442256682;2
55.72126 37.741163;441889106;0
55.645796 37.508975;442184669;1
55.718851 37.779835;441921734;1
55.733827 37.569899;441962052;3
55.765458 37.796517;441962281;2
55.729321 37.60911;442095377;5
55.815989 37.570114;441799533;5
55.758595 37.64834;442300503;136
55.808569 37.704691;442196544;5
55.695758 37.565147;442180341;3
55.818291 37.708895;442131815;2
55.797837 37.452606;442016913;4
55.756184 37.655499;441966699;4
55.80145 37.461427;442345492;0
55.80655 37.504708;441796194;2
55.669021 37.481576;442274497;1
55.73256 37.567401;441961141;0
55.802528 37.463907;442317020;1
55.675961 37.571255;441877846;5
55.729321 37.60911;441874230;3
55.658205 37.645384;442299575;1
55.733148 37.568578;442314924;1
55.702602 37.826727;441815872;3
55.830624 37.59966;442150128;1
55.695758 37.565147;442208956;0
55.729321 37.60911;442182681;4
55.791228 37.46229;441998682;1
55.76175 37.647657;441785778;5
55.760201 37.712488;441937243;2
55.624179 37.514302;442165764;3
55.760864 37.712246;442091198;4
55.660084 37.520752;441963438;5
55.693977 37.562694;441812641;1
55.695266 37.568336;442294626;2
55.801263 37.586212;442019265;2
55.802148 37.482088;442364977;5
55.671158 37.755266;441954048;0
55.777803 37.669693;442292584;5
55.727339 37.532277;441764716;0
55.670153 37.582987;442110031;4
55.792098 37.482583;441885480;3
55.619284 37.609919;442296279;3
55.72167 37.779233;442250206;0
55.793308 37.591279;442163932;3
55.784835 37.631766;441871162;2
55.844753 37.500926;442308119;2
55.728358 37.63517;442326943;5
55.753575 37.605553;442120566;3
55.564246 37.599004;442040913;1
55.663644 37.527723;442007862;0
55.661013 37.555795;442298418;5
55.801136 37.526959;442190383;0
55.802047 37.780527;441854133;2
55.752764 37.654691;442225338;2
55.853976 37.569351;441777381;0
55.782744 37.60275;442282166;2
55.766861 37.731703;441927164;1
55.792478 37.473761;441902426;4
55.797113 37.610718;442268249;0
55.70386 37.524758;441854776;14
55.771813 37.575828;441816899;1
55.777803 37.669693;442040289;1
55.818144 37.706982;441937971;2
55.802341 37.529151;441929552;0
55.577327 37.554861;441928096;4
55.564246 37.599004;441870625;3
55.705346 37.518066;441785453;0
55.75517 37.715444;442170098;2
55.769854 37.590533;442005184;140
55.839203 37.549938;442283227;3
55.811143 37.804305;442084769;0
55.694769 37.564383;442092824;4
55.733609 37.591683;442325205;3
55.64824 37.668399;441920886;1
55.754806 37.668579;442058094;2
55.645131 37.487892;441920186;1
55.700557 37.571201;441981901;0
55.747044 37.591234;442320017;0
55.743512 37.705787;442063251;2
55.66369 37.544872;442252827;0
55.652908 37.642474;442280814;3
55.649865 37.672343;442167092;3
55.686655 37.621309;442205157;3
55.809378 37.51565;441792942;4
55.752724 37.652463;442260721;3
55.770841 37.589374;442008720;4
55.786657 37.61565;441962707;1
55.650764 37.539131;441936231;0
55.667792 37.442024;441819751;3
55.801364 37.477085;441801260;0
55.705346 37.518066;441896191;3
55.767904 37.580858;442055295;2
55.766861 37.731703;442331213;4
55.71057 37.577561;441922779;5
55.721508 37.775811;442009223;4
55.677661 37.586895;441794428;1
55.762718 37.679071;442066813;4
55.842514 37.486903;442194055;83
55.763579 37.623798;442306475;4
55.78973 37.508014;442231163;0
55.77711 37.51962;442222130;1
55.775525 37.549471;442314818;2
55.760201 37.712488;442192486;1
55.758595 37.64834;442032192;2
55.81042 37.523986;441957449;0
55.785118 37.631954;442312113;25
55.647823 37.671139;441905951;3
55.65592 37.618426;442136533;1
55.674621 37.582673;441986554;5
55.675093 37.569342;442130848;68
55.841402 37.586877;441995508;178
55.764146 37.633598;441895191;2
55.762718 37.679071;442089756;1
55.800954 37.539868;442163988;3
55.778067 37.730473;442078519;5
55.700923 37.542644;442088983;3
55.767777 37.603639;442180565;2
55.750591 37.769037;442251623;0
55.67793 37.456307;442081789;5
55.737253 37.695645;441986815;0
55.712016 37.588647;441815657;3
55.778568 37.736509;442310291;0
55.784769 37.704251;442213883;3
55.765974 37.684596;442157218;5
55.775525 37.549471;442005119;21
55.664324 37.488062;441842471;2
55.763579 37.623798;442255545;3
55.763579 37.623798;442099232;4
55.786308 37.695187;442050773;0
55.760201 37.712488;441780802;5
55.754806 37.668579;442314458;3
55.682706 37.66132;441939645;2
55.764729 37.55478;441885299;5
55.763711 37.553855;441946779;3
55.674813 37.567617;441845633;3
55.979833 37.398455;442197505;0
55.711534 37.589823;442006431;192
55.700923 37.542644;442316064;0
55.774862 37.712012;442098630;0
55.724312 37.78792;442085118;5
55.871203 37.51953;442283253;2
55.771393 37.567392;441982630;2
55.762227 37.590937;442234655;0
55.721305 37.770978;441865729;0
55.858205 37.43357;441825950;1
55.755794 37.589105;442127552;1
55.802133 37.486427;442286735;3
55.726462 37.648573;441856773;5
55.651232 37.536715;442181229;4
55.708663 37.576079;441884416;5
55.658743 37.541243;442180546;172
55.7004 37.492419;442275389;3
55.797807 37.454016;441927257;1
55.647945 37.670654;442277402;0
55.800433 37.461724;442353393;0
55.624179 37.514302;442239484;3
55.658205 37.645384;441904179;5
55.721539 37.672118;441939856;5
55.758772 37.648959;441910116;1
55.755662 37.702993;442103260;4
55.815989 37.570114;442175268;4
55.705184 37.569207;442250124;1
55.68461 37.341781;441811106;3
55.802513 37.460619;442260333;4
55.801172 37.478118;441843377;1
55.70494 37.569791;441781691;3
55.856851 37.506352;441872684;1
55.86352 37.539464;441977116;1
55.839203 37.549938;441960988;4
55.76331 37.586706;442207581;0
55.71057 37.577561;442049650;4
55.665919 37.439948;442252256;4
55.765974 37.684596;442158124;0
55.660663 37.521542;441916456;45
55.753691 37.708671;442191512;1
55.658743 37.541243;441781388;0
55.762242 37.640156;442234667;186
55.765954 37.652876;442140282;4
55.698482 37.572064;442154213;1
55.713136 37.862866;442324508;1
55.751427 37.648942;442320653;0
55.720819 37.773628;441871010;4
55.797837 37.452606;442067549;440
55.70494 37.569791;441880801;5
55.787573 37.624992;442024011;0
55.825391 37.423375;442243709;3
55.779044 37.605939;441899723;4
55.692044 37.555247;441955893;4
55.761411 37.672693;441767007;1
55.774396 37.596534;442168203;5
55.619284 37.609919;442199986;1
55.70386 37.524758;441958600;0
55.764729 37.55478;442028300;2
55.762353 37.68049;442166162;4
55.733406 37.570384;442342333;4
55.66369 37.544872;442075906;2
55.803408 37.461068;441945741;2
55.670153 37.582987;442310963;2
55.703373 37.523582;442121547;3
55.698954 37.566144;442170410;3
55.674813 37.567617;442186272;4
55.705569 37.603047;441917314;3
55.645862 37.508337;441795131;2
55.778067 37.730473;442299483;1
55.745093 37.664815;442101193;5
55.578788 37.673313;442332959;2
55.774593 37.629277;442096153;5
55.639984 37.523088;442049343;3
55.693145 37.546525;441981757;5
55.787396 37.499372;442205262;5
55.759101 37.598034;442054413;46
55.645492 37.508463;441771643;2
55.720819 37.773628;442004437;1
55.65592 37.618426;441941071;2
55.818144 37.706982;441809181;4
55.694769 37.564383;442267973;1
55.646584 37.508607;441889731;3
55.841402 37.586877;442070092;5
55.830538 37.676295;441833639;2
55.616381 37.76371;441845041;3
55.774137 37.597136;442086041;0
55.70455 37.56998;441998055;2
55.645563 37.506828;442272215;0
55.649423 37.672055;442264747;4
55.754633 37.646013;442024442;1
55.76175 37.647657;441776607;4
55.735667 37.62466;441992425;3
55.66241 37.635296;442259404;1
55.860282 37.658437;442196137;1
55.809054 37.572351;441922024;1
55.765974 37.684596;442127255;1
55.733609 37.591683;442361390;2
55.756457 37.610691;441895287;3
55.765458 37.796517;441835790;3
55.647386 37.67157;441852274;2
55.740517 37.528963;441879748;5
55.765985 37.651241;441992223;1
55.819545 37.643812;441931517;4
55.695758 37.565147;442247120;3
55.871203 37.51953;441908395;1
55.744272 37.589617;441902578;3
55.677443 37.569773;442021322;1
55.779044 37.605939;442297123;0
55.73477 37.614841;442099337;2
55.806241 37.652741;442214799;0
55.724961 37.784668;442028997;2
55.657149 37.539302;442109397;1
55.765377 37.581164;442230794;0
55.755029 37.644001;442265332;4
55.786298 37.572306;442033031;0
55.802255 37.462119;441769510;5
55.766592 37.589698;441964048;4
55.73477 37.614841;442239163;1
55.808002 37.635853;441972106;2
55.801491 37.779871;442037384;4
55.766592 37.589698;442101378;132
55.662506 37.604753;441845246;2
55.778067 37.730473;442194974;5
55.67793 37.456307;441924560;0
55.774056 37.583176;442053070;5
55.71234 37.589698;442346261;5
55.815848 37.527606;441974187;1
55.754806 37.668579;442355597;3
55.818144 37.706982;442201864;0
55.843121 37.491072;441845027;5
55.735789 37.582933;442321391;1
55.700162 37.569441;442243602;2
55.717726 37.686734;441827536;3
55.655097 37.533652;442058185;252
55.754411 37.729278;442225306;3
55.657499 37.645214;442352585;3
55.710398 37.590219;442351661;4
55.753443 37.636284;441798748;5
55.789461 37.593273;441825525;2
55.720626 37.725361;441879659;1
55.762242 37.640156;441777631;1
55.767904 37.580858;441844653;2
55.755662 37.702993;442104879;1
55.795702 37.560134;441801416;2
55.767099 37.678658;442055317;0
55.616961 37.614123;441872993;1
55.694718 37.536562;442083984;3
55.649926 37.670968;442097808;4
55.639984 37.523088;441938844;2
55.710398 37.590219;442120396;5
55.783342 37.602346;441823156;4
55.759106 37.548788;442056486;5
55.746056 37.593542;442183677;22
55.730745 37.57342;442082156;4
55.660663 37.521542;442138149;2
55.788844 37.597306;442179287;0
55.647737 37.669917;442299433;4
55.786065 37.742016;442314261;4
55.801491 37.779871;441886776;5
55.763554 37.616629;442318481;3
55.762667 37.635206;442159735;3
55.762277 37.568165;442233700;4
55.698482 37.572064;442265099;4
55.803828 37.647855;441794698;5
55.706315 37.603002;441861130;2
55.798323 37.452318;442149394;0
55.648494 37.55204;442165123;0
55.616381 37.76371;441827913;5
55.652908 37.642474;442041161;1
55.731435 37.678873;442218534;3
55.623402 37.668848;442321849;2
55.869698 37.46714;442332521;0
55.772568 37.615857;442077495;3
55.763457 37.796687;442270377;1
55.700968 37.53906;442338885;5
55.675961 37.571255;442325201;164
55.801263 37.586212;442004440;5
55.72167 37.779233;442111066;0
55.757734 37.756659;442291982;5
55.819929 37.528882;442358118;2
55.706315 37.603002;442364786;5
55.789709 37.707413;442113073;3
55.767311 37.613593;441916443;5
55.671158 37.755266;441972710;2
55.767767 37.646166;441826992;3
55.686289 37.552876;441873628;184
55.747044 37.591234;442241398;88
55.85869 37.640381;442244866;2
55.695403 37.567123;441905053;0
55.765377 37.581164;442086535;3
55.698041 37.582592;442349395;0
55.713136 37.862866;441997933;0
55.785053 37.741863;442348419;5
55.705184 37.569207;441873670;0
55.867738 37.441116;442162464;4
55.762667 37.664707;441788241;0
55.708699 37.567734;442071579;1
55.801364 37.477085;442333488;1
55.748665 37.695025;441882803;5
55.720819 37.773628;442085857;3
55.724236 37.626897;442180943;4
55.810299 37.504079;441815829;2
55.83028 37.404815;442096775;2
55.797943 37.451761;442248006;1
55.808002 37.635853;441814081;3
55.647737 37.669917;442019269;5
55.698767 37.579196;442319799;5
55.761036 37.638422;441854139;5
55.745032 37.602669;441857368;1
55.65146 37.542904;442012778;5
55.750261 37.605607;441930552;5
55.750864 37.654727;442237536;4
55.795352 37.785099;441988529;3
55.798743 37.44921;442367610;0
55.713679 37.831704;442271106;0
55.754547 37.598178;442156793;4
55.648494 37.55204;441959057;5
55.664289 37.492904;441850251;1
55.665919 37.439948;442090550;3
55.772568 37.615857;442356362;246
55.804 37.555885;442052231;0
55.824607 37.426339;442187611;5
55.801379 37.474695;442304064;154
55.578788 37.673313;442019269;5
55.824607 37.426339;441784734;4
55.729589 37.609586;441794211;0
55.680133 37.571516;442252499;3
55.75282 37.652948;442276775;0
55.747044 37.591234;442252255;3
55.770517 37.729961;442110357;1
55.751427 37.648942;442031509;2
55.64824 37.668399;442241434;1
55.701633 37.576798;441764787;2
55.765377 37.581164;442080676;0
55.801364 37.477085;441783479;4
55.753316 37.704916;441817458;3
55.779788 37.586401;442055964;3
55.798323 37.452318;441939503;5
55.674621 37.582673;441785957;177
55.812676 37.518003;441775106;4
55.798212 37.529313;441964441;5
55.737785 37.644549;442133572;12
55.776851 37.573429;442036719;5
55.655097 37.533652;442197793;5
55.765493 37.652849;442022748;0
55.700217 37.529304;442011187;4
55.760201 37.712488;441887919;4
55.812231 37.482762;442008005;2
55.648006 37.511122;442330635;5
55.764642 37.677373;442114568;3
55.727212 37.583598;442334095;1
55.766238 37.651951;442054893;5
55.82706 37.557601;441809220;2
55.647823 37.671139;442037411;2
55.739671 37.621408;441842847;4
55.788844 37.597306;441784936;1
55.765691 37.651223;441969187;3
55.650383 37.537928;442034995;5
55.659607 37.645555;441837690;174
55.737253 37.695645;442198261;5
55.801688 37.45319;441858202;4
55.753575 37.605553;442036878;0
55.7567 37.674202;442118888;4
55.65144 37.538323;442278152;2
55.783084 37.60187;442164530;5
55.752121 37.648259;442087613;3
55.761036 37.638422;442162734;5
55.802255 37.462119;441975897;1
55.818291 37.708895;442298002;3
55.801379 37.474695;442288792;3
55.765691 37.651223;441981995;0
55.784708 37.628163;442223488;0
55.647153 37.509478;441981867;1
55.786455 37.576313;442212392;2
55.80145 37.461427;441815256;5
55.700557 37.571201;442223230;5
55.706315 37.603002;441873232;1
55.738571 37.618749;442044377;2
55.688969 37.572621;442106822;4
55.783342 37.602346;441896210;2
55.650434 37.538736;442017289;36
55.705346 37.518066;442270779;1
55.732327 37.582296;441843141;2
55.648006 37.511122;442129000;5
55.80145 37.461427;441774560;1
55.650764 37.539131;441807563;1
55.754669 37.644809;441936629;0
55.678549 37.583023;441796191;1
55.808108 37.520042;442018889;4
55.734187 37.569791;442081352;1
55.699188 37.619117;441988384;0
55.705468 37.648726;442101463;5
55.786764 37.653819;442124208;5
55.801136 37.526959;441791349;3
55.661917 37.602436;441874319;2
55.725463 37.615389;442171309;2
55.656158 37.607969;441785646;2
55.657667 37.467679;442297763;1
55.650048 37.671885;442000464;3
55.754547 37.598178;441900444;4
55.662506 37.604753;442297734;4
55.767798 37.649651;442360287;2
55.678148 37.584451;442032180;4
55.648494 37.55204;442340506;1
55.687299 37.551879;442095481;4
55.860943 37.486409;442219909;1
55.786298 37.572306;442005746;3
55.755368 37.646471;442086756;2
55.76175 37.647657;442179282;2
55.657499 37.645214;442267189;0
55.819287 37.604583;441887188;5
55.687299 37.551879;441779120;1
55.764131 37.631541;442028144;0
55.818002 37.461032;442299147;2
55.784769 37.704251;442112191;5
55.713917 37.591503;442190536;2
55.657149 37.539302;442235533;1
55.860943 37.486409;442295015;0
55.764146 37.633598;442098437;4
55.77032 37.661446;442168006;0
55.816793 37.645106;441776432;0
55.732996 37.698654;442133118;0
55.830538 37.676295;442320430;1
55.765974 37.684596;442144102;3
55.785053 37.741863;442291059;5
55.841402 37.586877;442083354;5
55.818144 37.706982;441951592;5
55.720773 37.777895;441945505;0
55.793814 37.460071;441948348;4
55.677661 37.586895;442026692;4
55.860282 37.658437;442231474;1
55.678148 37.584451;441909386;1
55.818882 37.618893;442007337;2
55.753534 37.698277;441925203;2
55.686376 37.614491;442199512;5
55.76175 37.647657;442115741;3
55.783362 37.603604;442163360;4
55.73404 37.432358;441793068;2
55.763457 37.796687;441920734;3
55.756543 37.378962;442307023;2
55.771591 37.665336;442215112;4
55.766557 37.648762;441903728;4
55.649484 37.654278;442318501;1
55.630345 37.614608;442297557;3
55.756184 37.655499;441892352;0
55.721539 37.672118;442032311;5
55.774056 37.583176;442252689;3
55.71057 37.577561;442028384;3
55.76562 37.649157;442115974;6
55.860282 37.658437;441888993;4
55.681767 37.516575;442004959;4
55.624179 37.514302;442136470;0
55.843469 37.537694;441900698;5
55.671158 37.755266;441880897;4
55.747368 37.719046;442121027;2
55.816793 37.645106;442061952;5
55.762227 37.590937;442136884;0
55.70386 37.524758;441825528;2
55.782491 37.580472;441872961;3
55.765974 37.684596;442225254;1
55.686376 37.614491;442085870;3
55.792098 37.482583;442313828;4
55.765974 37.684596;442017379;3
55.675961 37.571255;442203784;213
55.66369 37.544872;441985789;4
55.698071 37.570168;441917689;0
55.646828 37.508113;441854251;1
55.843469 37.537694;442283005;1
55.753316 37.704916;441892037;0
55.891724 37.552579;441816917;1
55.778568 37.736509;442087652;1
55.70494 37.569791;442205640;1
55.75166 37.6539;441933102;1
55.815539 37.5183;441948688;0
